BERN,CUI-less,CUI_list,MESH,OMIM,_id,wipsonkey
260079301,[],"[""C0036341""]",D012559,181500,60e2b2617a3afc879de76d8a,5420016001013
260835901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b2977a3afc879de76dba,5420016001013
261037201,[],"[""C0795934""]",C563052,[],60e2b29c7a3afc879de76dd3,5420016001013
258174001,[],"[""C0004352""]",D001321,209850,60e2b2a97a3afc879de76e00,5420016001013
255931001,[],"[""C0027746""]",D009410,[],60e2b2b37a3afc879de76e19,5420016001013
106917801,[],"[""C2930619"",""C0266362"",""C0392697"",""C0036875"",""C0019269"",""C2930618"",""C0033804""]",D012734,[],60e2b2e47a3afc879de76e1f,5420016005584
256014601,[],"[""C0751071"",""C0497327"",""C0338630""]",D003704,[],60e2b2e57a3afc879de76e20,5420016005584
106971001,[],"[""C0030567""]",D010300,[],60e2b2e57a3afc879de76e21,5420016005584
106924801,[],"[""C0338582"",""C0085220""]",D016657,[],60e2b2e57a3afc879de76e22,5420016005584
107288501,[],"[""C0268383"",""C0268384"",""C0206245"",""C1527337"",""C0155127"",""C0268385"",""C4551500"",""C0936273"",""C0342608"",""C0268386""]",D028227,[],60e2b2e57a3afc879de76e23,5420016005584
106990601,[],"[""C0751207"",""C0751208"",""C0020179"",""C0393574""]",D006816,143100,60e2b2e57a3afc879de76e24,5420016005584
255886401,[],"[""C0270715"",""C0751733"",""C0524851""]",D019636,[],60e2b2e57a3afc879de76e25,5420016005584
258607701,[],"[""C0524528"",""C0008074""]",D002659,[],60e2b2e57a3afc879de76e26,5420016005584
107254301,[],"[""C0018817"",""C0031192"",""C0344724""]",D006344,[],60e2b2e57a3afc879de76e27,5420016005584
121379901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b2e57a3afc879de76e2a,5420016005584
107482201,[],"[""C1527320"",""C3537146"",""C0025281""]",D008575,[],60e2b2e57a3afc879de76e2b,5420016005584
106965801,[],"[""C0750900"",""C0002395"",""C0494463"",""C0011265"",""C0546126"",""C0276496"",""C0750901""]",D000544,104300,60e2b2e57a3afc879de76e2f,5420016005584
106970401,[],"[""C0751324"",""C0026769""]",D009103,126200,60e2b2e57a3afc879de76e30,5420016005584
260079301,[],"[""C0036341""]",D012559,181500,60e2b2e57a3afc879de76e31,5420016005584
255273301,[],"[""C1571984"",""C1571983"",""C0011574"",""C1269683""]",D003865,608516,60e2b2e57a3afc879de76e33,5420016005584
260835901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b2fd7a3afc879de76e53,5420016005584
256739001,[],"[""C0027932""]",D009497,[],60e2b2fe7a3afc879de76e56,5420016005584
262326101,[],"[""C0234238"",""C0030193"",""C0458257"",""C0751407"",""C0751408"",""C0234254"",""C0234230"",""C0458259""]",D010146,[],60e2b2ff7a3afc879de76e57,5420016005584
260328701,[],"[""C0750942"",""C0004310""]",D001308,[],60e2b31b7a3afc879de76e96,5420016005584
259688201,[],"[""C0008679"",""C0008715""]",D002908,[],60e2b31c7a3afc879de76ea7,5420016005584
2393101,[],"[""C0024713"",""C5241301"",""C0005586"",""C0005587""]",D001714,[],60e2b32b7a3afc879de76eb8,5420016005584
261037201,[],"[""C0795934""]",C563052,[],60e2b37a7a3afc879de76ece,5420016005584
107417601,[],"[""C0014072""]",D004681,[],60e2b39e7a3afc879de76eee,5420016005584
254936201,[],"[""C0009241"",""C0029947""]",D003072,[],60e2b3bc7a3afc879de76ef6,4920012005676
259810801,[],"[""C0233794"",""C0025261"",""C0751294"",""C0751293"",""C0751292"",""C0751295""]",D008569,[],60e2b3bd7a3afc879de76ef8,4920012005676
254923401,[],"[""C0027765""]",D009422,[],60e2b3bd7a3afc879de76efa,4920012005676
259542101,[],"[""C0751437"",""C0032002"",""C0751438""]",D010900,[],60e2b3bd7a3afc879de76efd,4920012005676
259796901,[],"[""C3665347"",""C0233771"",""C0018975"",""C0271185"",""C3489704"",""C0042790"",""C0233769""]",D014786,[],60e2b3bf7a3afc879de76f01,4920012005676
255886401,[],"[""C0270715"",""C0751733"",""C0524851""]",D019636,[],60e2b4067a3afc879de76f03,5420009000560
261513601,[],"[""C0525041""]",D019954,[],60e2b4067a3afc879de76f05,5420009000560
261410801,[],"[""C0012634""]",D004194,[],60e2b4067a3afc879de76f06,5420009000560
106965801,[],"[""C0750900"",""C0002395"",""C0494463"",""C0011265"",""C0546126"",""C0276496"",""C0750901""]",D000544,104300,60e2b4067a3afc879de76f08,5420009000560
106990601,[],"[""C0751207"",""C0751208"",""C0020179"",""C0393574""]",D006816,143100,60e2b4067a3afc879de76f09,5420009000560
254936201,[],"[""C0009241"",""C0029947""]",D003072,[],60e2b4067a3afc879de76f0b,5420009000560
256014601,[],"[""C0751071"",""C0497327"",""C0338630""]",D003704,[],60e2b40b7a3afc879de76f14,5420009000560
106971001,[],"[""C0030567""]",D010300,[],60e2b40b7a3afc879de76f15,5420009000560
106924801,[],"[""C0338582"",""C0085220""]",D016657,[],60e2b40b7a3afc879de76f16,5420009000560
107288501,[],"[""C0268383"",""C0268384"",""C0206245"",""C1527337"",""C0155127"",""C0268385"",""C4551500"",""C0936273"",""C0342608"",""C0268386""]",D028227,[],60e2b40b7a3afc879de76f17,5420009000560
261037201,[],"[""C0795934""]",C563052,[],60e2b4367a3afc879de76f4b,5420009000560
255931001,[],"[""C0027746""]",D009410,[],60e2b4437a3afc879de76f61,5420009000560
260079301,[],"[""C0036341""]",D012559,181500,60e2b4d47a3afc879de76fb2,5420009000560
121379901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b4d47a3afc879de76fb3,5420009000560
2393101,[],"[""C0024713"",""C5241301"",""C0005586"",""C0005587""]",D001714,[],60e2b4d47a3afc879de76fb4,5420009000560
254991101,[],"[""C0747767"",""C1136393"",""C0038436"",""C0730525"",""C4505439""]",D013313,[],60e2b4d47a3afc879de76fb6,5420009000560
106917801,[],"[""C2930619"",""C0266362"",""C0392697"",""C0036875"",""C0019269"",""C2930618"",""C0033804""]",D012734,[],60e2b4d57a3afc879de76fb7,5420009000560
259420101,[],"[""C0031570"",""C0008909"",""C0349231""]",D010698,[],60e2b4f17a3afc879de76fd3,5420009000560
258607701,[],"[""C0524528"",""C0008074""]",D002659,[],60e2b4f57a3afc879de76fe5,5420009000560
106970401,[],"[""C0751324"",""C0026769""]",D009103,126200,60e2b4f57a3afc879de76fec,5420009000560
107550501,[],"[""C0751718"",""C0751716"",""C0751717"",""C0270724"",""C0338473""]",D019150,[],60e2b5157a3afc879de76ff8,5420009000560
106965801,[],"[""C0750900"",""C0002395"",""C0494463"",""C0011265"",""C0546126"",""C0276496"",""C0750901""]",D000544,104300,60e2b5487a3afc879de77006,4920007004316
260079301,[],"[""C0036341""]",D012559,181500,60e2b5487a3afc879de77007,4920007004316
121379901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b5487a3afc879de77008,4920007004316
